"Time (CET/CEST)","Export/Import (BZN|CZ)","Net position [MW]"
"18.02.2023 00:00 - 18.02.2023 01:00","Export","1574"
"18.02.2023 01:00 - 18.02.2023 02:00","Export","1494"
"18.02.2023 02:00 - 18.02.2023 03:00","Export","970"
"18.02.2023 03:00 - 18.02.2023 04:00","Export","325"
"18.02.2023 04:00 - 18.02.2023 05:00","Export","231"
"18.02.2023 05:00 - 18.02.2023 06:00","Export","157"
"18.02.2023 06:00 - 18.02.2023 07:00","Export","72"
"18.02.2023 07:00 - 18.02.2023 08:00","Export","208"
"18.02.2023 08:00 - 18.02.2023 09:00","Export","374"
"18.02.2023 09:00 - 18.02.2023 10:00","Export","12"
"18.02.2023 10:00 - 18.02.2023 11:00","Import","232"
"18.02.2023 11:00 - 18.02.2023 12:00","Import","611"
"18.02.2023 12:00 - 18.02.2023 13:00","Import","639"
"18.02.2023 13:00 - 18.02.2023 14:00","Import","672"
"18.02.2023 14:00 - 18.02.2023 15:00","Import","455"
"18.02.2023 15:00 - 18.02.2023 16:00","Export","112"
"18.02.2023 16:00 - 18.02.2023 17:00","Export","573"
"18.02.2023 17:00 - 18.02.2023 18:00","Export","618"
"18.02.2023 18:00 - 18.02.2023 19:00","Export","1076"
"18.02.2023 19:00 - 18.02.2023 20:00","Export","1281"
"18.02.2023 20:00 - 18.02.2023 21:00","Export","919"
"18.02.2023 21:00 - 18.02.2023 22:00","Export","977"
"18.02.2023 22:00 - 18.02.2023 23:00","Export","1060"
"18.02.2023 23:00 - 19.02.2023 00:00","Export","1266"
