DynamicProfile,DayType,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
AT_LOAD,AutumnWD,0.602126453,0.597136383,0.59781449,0.588488874,0.587543962,0.58184251,0.584383261,0.580264757,0.600248619,0.596052872,0.594839654,0.589963102,0.589262911,0.587004854,0.585643444,0.587004254,0.593611648,0.595778771,0.596575991,0.603221856,0.619131782,0.631810558,0.632570805,0.650258737,0.672750574,0.696710843,0.703795289,0.715520959,0.761848655,0.769425643,0.771640132,0.778736469,0.792305598,0.795268142,0.795479888,0.797912718,0.791498485,0.795946349,0.799221766,0.801004169,0.794441544,0.800951008,0.805287154,0.809064006,0.803928242,0.80729939,0.807772745,0.803148909,0.786348232,0.777043701,0.777955437,0.778352449,0.773020627,0.772682973,0.76959432,0.768095111,0.770535835,0.769153241,0.764277188,0.760267805,0.769083891,0.765901007,0.762429732,0.762360483,0.777327095,0.7810316,0.778206555,0.779993655,0.796733077,0.797211928,0.79531221,0.793547794,0.793359031,0.78932017,0.787628101,0.785463675,0.771325461,0.764679296,0.763740579,0.753733159,0.733479294,0.723817723,0.720925727,0.709367835,0.680434784,0.671813156,0.667577737,0.658415303,0.661718999,0.657892483,0.653170718,0.642623991,0.628297014,0.616830556,0.614080257,0.608882738
Hydro_Niederosterreich,AutumnWD,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.153977716,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.153977716,0.153977716,0.153977716,0.175996064,0.198014413,0.221408908,0.243427257,0.235170376,0.225537349,0.217280468,0.209023587,0.193885972,0.180124505,0.166363037,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.153977716,0.138840101,0.123702486,0.107188725,0.09205111,0.118197899,0.144344688,0.171867624,0.198014413,0.204895147,0.210399734,0.217280468,0.224161202,0.215904321,0.20764744,0.19939056,0.192509826,0.180124505,0.16911533,0.158106156,0.145720835,0.136087807,0.12645478,0.116821752,0.107188725,0.098931844,0.090674963,0.082418083,0.074161202,0.074161202
Verbund_Danube,AutumnWD,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681,0.102872681
AT_LOAD,SpringWD,0.555859312,0.550532188,0.548795951,0.539948887,0.539074224,0.534958218,0.535357328,0.532272672,0.541456191,0.539732245,0.539979265,0.530165305,0.54126423,0.541128029,0.54141642,0.542111714,0.54875628,0.552287111,0.552813029,0.559483875,0.568408383,0.581078166,0.585829409,0.599472484,0.622839184,0.646651861,0.654710798,0.667182025,0.717159966,0.726930758,0.73356663,0.739278975,0.757682686,0.762867814,0.764426879,0.767555304,0.764291178,0.772227704,0.774115031,0.777346181,0.772906311,0.780484498,0.782343245,0.786489629,0.786527401,0.788717808,0.787950766,0.786049849,0.771318166,0.765482212,0.762404451,0.76222718,0.761403779,0.760263908,0.760485747,0.757631923,0.751279544,0.747322623,0.745497451,0.740990829,0.739116193,0.735806301,0.734222953,0.728646809,0.728486926,0.724052951,0.720675908,0.716653934,0.719001826,0.716762755,0.714215009,0.709344452,0.710877637,0.707597123,0.70663922,0.702221734,0.701114139,0.69819916,0.699427167,0.697392147,0.696898706,0.698482854,0.695706274,0.689712434,0.664765383,0.653026423,0.643266024,0.633785821,0.635325001,0.629148195,0.622498832,0.610665541,0.587554954,0.578410506,0.571026478,0.567525525
Hydro_Niederosterreich,SpringWD,0.409941018,0.320491477,0.231041936,0.229665789,0.229665789,0.228289642,0.228289642,0.228289642,0.228289642,0.228289642,0.228289642,0.228289642,0.228289642,0.229665789,0.229665789,0.229665789,0.229665789,0.229665789,0.228289642,0.229665789,0.229665789,0.229665789,0.229665789,0.258564872,0.288840101,0.31911533,0.348014413,0.405812578,0.46498689,0.522785055,0.581959367,0.630124505,0.681041936,0.731959367,0.781500651,0.725078633,0.668656615,0.61085845,0.555812578,0.540674963,0.526913495,0.511775881,0.496638266,0.498014413,0.498014413,0.498014413,0.498014413,0.462234596,0.427830927,0.39205111,0.354895147,0.356271294,0.35764744,0.35764744,0.359023587,0.353519,0.346638266,0.339757532,0.335629092,0.309482303,0.284711661,0.259941018,0.235170376,0.233794229,0.232418083,0.231041936,0.231041936,0.228289642,0.225537349,0.224161202,0.221408908,0.222785055,0.224161202,0.225537349,0.228289642,0.31498689,0.403060284,0.491133679,0.577830927,0.613610743,0.646638266,0.678289642,0.714069459,0.714069459,0.715445606,0.715445606,0.715445606,0.64939056,0.583335514,0.514528174,0.445720835,0.411317165,0.374161202,0.339757532,0.302601569,0.284711661
Verbund_Danube,SpringWD,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435,0.389893435
AT_LOAD,SummerWD,0.573953249,0.568462044,0.570137825,0.56024762,0.557557377,0.551627591,0.55558821,0.550538084,0.529640786,0.528023563,0.527543312,0.518022039,0.555391852,0.553323557,0.553169269,0.554623611,0.557414881,0.559679633,0.55858413,0.564297274,0.57936731,0.592654644,0.591627091,0.60588332,0.629036776,0.654234444,0.656795281,0.671233278,0.718412455,0.732394283,0.737587905,0.744077284,0.762482394,0.770565314,0.773090776,0.777817738,0.77326475,0.779563967,0.779186942,0.782316864,0.780031327,0.787459323,0.7905152,0.794830561,0.792188683,0.793492134,0.79316877,0.791239973,0.777788259,0.769197009,0.766525852,0.766113053,0.750207124,0.748378155,0.748792154,0.745908152,0.742025177,0.741048687,0.73920243,0.735364023,0.738238731,0.73679778,0.734313687,0.730702514,0.730223962,0.728589151,0.725065015,0.722073492,0.728650207,0.726809546,0.725999136,0.719180096,0.721935492,0.712649348,0.707234687,0.700048914,0.692089605,0.682891197,0.679874491,0.671494388,0.659024759,0.655626332,0.659393891,0.656249878,0.639475282,0.640993177,0.640648828,0.631736712,0.633243915,0.625497051,0.622890747,0.612194728,0.58017812,0.565890115,0.564034365,0.558588527
Hydro_Niederosterreich,SummerWD,0.288840101,0.257188725,0.228289642,0.189757532,0.151225422,0.112693312,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.074161202,0.097555697,0.119574046,0.141592395,0.16498689,0.200766706,0.236546523,0.272326339,0.308106156,0.290216248,0.272326339,0.254436431,0.236546523,0.259941018,0.283335514,0.308106156,0.330124505,0.334252945,0.339757532,0.343885972,0.348014413,0.338381385,0.331500651,0.321867624,0.313610743,0.313610743,0.313610743,0.313610743,0.313610743,0.317739184,0.321867624,0.325996064,0.328748358,0.330124505,0.331500651,0.331500651,0.334252945,0.338381385,0.342509826,0.346638266,0.350766706,0.354895147,0.35764744,0.360399734,0.363152028,0.354895147,0.345262119,0.337005239,0.328748358,0.305353862,0.281959367,0.258564872,0.236546523,0.235170376,0.233794229,0.232418083,0.231041936,0.269574046,0.306730009,0.343885972,0.381041936,0.356271294,0.331500651,0.306730009,0.281959367,0.301225422,0.321867624,0.343885972,0.364528174,0.348014413,0.332876798,0.31911533,0.302601569,0.306730009
Verbund_Danube,SummerWD,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609,0.222281609
AT_LOAD,WinterWD,0.664348586,0.656682963,0.656495,0.648215823,0.640966997,0.635280533,0.635261447,0.629746859,0.630765918,0.627059414,0.625838502,0.623805482,0.620113467,0.617600895,0.617686433,0.619495517,0.624102665,0.627391872,0.629586876,0.637836074,0.657475387,0.673161275,0.680058358,0.696805574,0.724066941,0.748407933,0.762190906,0.772818175,0.827901002,0.8324394,0.840093832,0.844333647,0.864558034,0.866701175,0.868876392,0.872144215,0.866726157,0.87121689,0.873309467,0.874731033,0.867416554,0.874292053,0.876709394,0.87863869,0.872737883,0.87593166,0.876086247,0.872562111,0.858967002,0.852139668,0.847707293,0.847391623,0.847190269,0.845887417,0.841150063,0.836715989,0.834598729,0.832474974,0.829867371,0.825429,0.826330245,0.822084234,0.820065502,0.818906745,0.822409297,0.82101741,0.820119763,0.821414221,0.841031949,0.84360118,0.847527224,0.85400681,0.87910655,0.878970249,0.881322438,0.879406931,0.87278355,0.865871778,0.864212385,0.853213787,0.819269581,0.806906176,0.798169432,0.784139139,0.736925487,0.727786835,0.715770177,0.70893535,0.714684167,0.714812074,0.701857998,0.694572598,0.680696693,0.670263883,0.663826766,0.659840066
