HeatRateCurve,SeriesHRC,InterceptHRC,SlopeHRC
BIOMASSOTHER_01_1,BIOMASSOTHER_01,0,3.4326
BIOMASSOTHER_01_2,BIOMASSOTHER_01,-0.1116,3.6558
BIOMASSOTHER_01_3,BIOMASSOTHER_01,-0.279,3.879
BIOMASSOTHER_02_1,BIOMASSOTHER_02,0,8.5106
BIOMASSOTHER_03_1,BIOMASSOTHER_03,0,15.6522
BIOMASSOTHER_04_1,BIOMASSOTHER_04,0,3.42
BIOMASSOTHER_04_2,BIOMASSOTHER_04,-0.054,3.528
BIOMASSOTHER_04_3,BIOMASSOTHER_04,-0.432,4.032
BIOMASSOTHER_05_1,BIOMASSOTHER_05,0,12
BIOMASSOTHER_07_1,BIOMASSOTHER_07,0,16.3636
BIOMASSOTHER_08_1,BIOMASSOTHER_08,0,13.0909
BIOMASSOTHER_08_2,BIOMASSOTHER_08,-0.245446154,13.5818
BIOMASSOTHER_08_3,BIOMASSOTHER_08,-1.963617308,15.8727
BIOMASSOTHER_09_1,BIOMASSOTHER_09,0,10.448
BIOMASSOTHER_09_2,BIOMASSOTHER_09,-0.382835556,11.2137
BIOMASSOTHER_09_3,BIOMASSOTHER_09,-0.957104444,11.9794
BIOMASSOTHER_10_1,BIOMASSOTHER_10,0,13.0909
BIOMASSOTHER_10_2,BIOMASSOTHER_10,-0.736344444,14.5636
BIOMASSOTHER_10_3,BIOMASSOTHER_10,-0.981811111,14.8909
BIOMASSOTHER_11_1,BIOMASSOTHER_11,0,12.3499
BIOMASSOTHER_12_1,BIOMASSOTHER_12,0,9.1603
BIOMASSOTHER_12_2,BIOMASSOTHER_12,-0.171745,9.5038
BIOMASSOTHER_12_3,BIOMASSOTHER_12,-1.374065,11.1069
CCGT_NAT_GAS_01_1,CCGT_NAT_GAS_01,0,6.3414
CCGT_NAT_GAS_02_1,CCGT_NAT_GAS_02,0,5.7464
CCGT_NAT_GAS_02_2,CCGT_NAT_GAS_02,-0.210542417,6.1675
CCGT_NAT_GAS_02_3,CCGT_NAT_GAS_02,-0.526430667,6.5887
CCGT_NAT_GAS_03_1,CCGT_NAT_GAS_03,0,5.1557
CCGT_NAT_GAS_03_2,CCGT_NAT_GAS_03,-0.290026776,5.7358
CCGT_NAT_GAS_03_3,CCGT_NAT_GAS_03,-0.386709836,5.8647
CCGT_NAT_GAS_04_1,CCGT_NAT_GAS_04,0,5.0731
CCGT_NAT_GAS_04_2,CCGT_NAT_GAS_04,-0.28534908,5.6438
CCGT_NAT_GAS_04_3,CCGT_NAT_GAS_04,-0.380517586,5.7707
CCGT_NAT_GAS_05_1,CCGT_NAT_GAS_05,0,6.4447
CCGT_NAT_GAS_06_1,CCGT_NAT_GAS_06,0,5.4522
CCGT_NAT_GAS_06_2,CCGT_NAT_GAS_06,-0.199799,5.8518
CCGT_NAT_GAS_06_3,CCGT_NAT_GAS_06,-0.499430875,6.2513
CCGT_NAT_GAS_07_1,CCGT_NAT_GAS_07,0,5.7034
CCGT_NAT_GAS_07_2,CCGT_NAT_GAS_07,-0.208964654,6.1213
CCGT_NAT_GAS_07_3,CCGT_NAT_GAS_07,-0.522452579,6.5393
CCGT_NAT_GAS_08_1,CCGT_NAT_GAS_08,0,6.7925
CCGT_NAT_GAS_09_1,CCGT_NAT_GAS_09,0,5.434
CCGT_NAT_GAS_09_2,CCGT_NAT_GAS_09,-0.305668957,6.0453
CCGT_NAT_GAS_09_3,CCGT_NAT_GAS_09,-0.407523215,6.1811
CCGT_NAT_GAS_10_1,CCGT_NAT_GAS_10,0,6.4772
CCGT_NAT_GAS_11_1,CCGT_NAT_GAS_11,0,5.4797
CCGT_NAT_GAS_11_2,CCGT_NAT_GAS_11,-0.200815455,5.8813
CCGT_NAT_GAS_11_3,CCGT_NAT_GAS_11,-0.5019525,6.2828
CCGT_NAT_GAS_12_1,CCGT_NAT_GAS_12,0,5.1521
CCGT_NAT_GAS_12_2,CCGT_NAT_GAS_12,-0.28982151,5.7317
CCGT_NAT_GAS_12_3,CCGT_NAT_GAS_12,-0.386430435,5.8605
CCGT_NAT_GAS_13_1,CCGT_NAT_GAS_13,0,5.3648
CCGT_NAT_GAS_13_2,CCGT_NAT_GAS_13,-0.196597471,5.758
CCGT_NAT_GAS_13_3,CCGT_NAT_GAS_13,-0.491429655,6.1511
CCGT_NAT_GAS_14_1,CCGT_NAT_GAS_14,0,5.0731
CCGT_NAT_GAS_14_2,CCGT_NAT_GAS_14,-0.09509908,5.2633
CCGT_NAT_GAS_14_3,CCGT_NAT_GAS_14,-0.760938161,6.1511
CCGT_NAT_GAS_15_1,CCGT_NAT_GAS_15,0,6.6821
CCGT_NAT_GAS_15_2,CCGT_NAT_GAS_15,-0.12528814,6.9327
CCGT_NAT_GAS_15_3,CCGT_NAT_GAS_15,-1.002334419,8.1021
CCGT_NAT_GAS_16_1,CCGT_NAT_GAS_16,0,5.1817
CCGT_NAT_GAS_16_2,CCGT_NAT_GAS_16,-0.097139906,5.376
CCGT_NAT_GAS_16_3,CCGT_NAT_GAS_16,-0.777231455,6.2828
CCGT_NAT_GAS_17_1,CCGT_NAT_GAS_17,0,6.4818
CCGT_NAT_GAS_18_1,CCGT_NAT_GAS_18,0,5.1855
CCGT_NAT_GAS_18_2,CCGT_NAT_GAS_18,-0.291673902,5.7688
CCGT_NAT_GAS_18_3,CCGT_NAT_GAS_18,-0.388945122,5.8985
CCGT_NAT_GAS_19_1,CCGT_NAT_GAS_19,0,7.2
CCGT_NAT_GAS_19_2,CCGT_NAT_GAS_19,-0.405,8.01
CCGT_NAT_GAS_19_3,CCGT_NAT_GAS_19,-0.54,8.19
CCGT_NAT_GAS_20_1,CCGT_NAT_GAS_20,0,6.4171
CCGT_NAT_GAS_21_1,CCGT_NAT_GAS_21,0,5.1337
CCGT_NAT_GAS_21_2,CCGT_NAT_GAS_21,-0.288755,5.7112
CCGT_NAT_GAS_21_3,CCGT_NAT_GAS_21,-0.3850475,5.8396
CCGT_NAT_GAS_22_1,CCGT_NAT_GAS_22,0,5.1337
CCGT_NAT_GAS_22_2,CCGT_NAT_GAS_22,-0.096255,5.3262
CCGT_NAT_GAS_22_3,CCGT_NAT_GAS_22,-0.77005425,6.2246
CCGT_NAT_GAS_23_1,CCGT_NAT_GAS_23,0,6.4083
CCGT_NAT_GAS_23_2,CCGT_NAT_GAS_23,-0.0280416,6.4405
CCGT_NAT_GAS_23_3,CCGT_NAT_GAS_23,-0.164207467,6.6746
CCGT_NAT_GAS_24_1,CCGT_NAT_GAS_24,0,5.434
CCGT_NAT_GAS_24_2,CCGT_NAT_GAS_24,-0.101868825,5.6377
CCGT_NAT_GAS_24_3,CCGT_NAT_GAS_24,-0.815109813,6.5887
CCGT_NAT_GAS_25_1,CCGT_NAT_GAS_25,0,6.2155
CCGT_NAT_GAS_25_2,CCGT_NAT_GAS_25,-0.227744651,6.671
CCGT_NAT_GAS_25_3,CCGT_NAT_GAS_25,-0.569364651,7.1265
CCGT_NAT_GAS_26_1,CCGT_NAT_GAS_26,0,5.3333
CCGT_NAT_GAS_26_2,CCGT_NAT_GAS_26,-0.299994,5.9333
CCGT_NAT_GAS_26_3,CCGT_NAT_GAS_26,-0.400036,6.0667
CCGT_NAT_GAS_27_1,CCGT_NAT_GAS_27,0,5.5274
CCGT_NAT_GAS_27_2,CCGT_NAT_GAS_27,-0.202547059,5.9325
CCGT_NAT_GAS_27_3,CCGT_NAT_GAS_27,-0.506376471,6.3376
CHP_COAL_01_1,CHP_COAL_01,0,9.7297
CHP_COAL_02_1,CHP_COAL_02,0,7.7838
CHP_COAL_02_2,CHP_COAL_02,-0.14595815,8.0757
CHP_COAL_02_3,CHP_COAL_02,-1.167539191,9.4378
CHP_COAL_03_1,CHP_COAL_03,0,7.5789
CHP_COAL_03_2,CHP_COAL_03,-0.426343429,8.4316
CHP_COAL_03_3,CHP_COAL_03,-0.568473714,8.6211
CHP_COAL_04_1,CHP_COAL_04,0,11.6129
CHP_COAL_05_1,CHP_COAL_05,0,10.2273
CHP_COAL_06_1,CHP_COAL_06,0,12.4138
CHP_FUELOIL_1_01_1,CHP_FUELOIL_1_01,0,7.2514
CHP_FUELOIL_1_01_2,CHP_FUELOIL_1_01,-0.265745732,7.7829
CHP_FUELOIL_1_01_3,CHP_FUELOIL_1_01,-0.664306098,8.3143
CHP_GASOIL_01_1,CHP_GASOIL_01,0,5.5385
CHP_GASOIL_01_2,CHP_GASOIL_01,-0.311506479,6.1615
CHP_GASOIL_01_3,CHP_GASOIL_01,-0.415371831,6.3
CHP_LIGNITE_01_1,CHP_LIGNITE_01,0,9.6
CHP_LIGNITE_01_2,CHP_LIGNITE_01,-0.18,9.96
CHP_LIGNITE_01_3,CHP_LIGNITE_01,-1.44,11.64
CHP_LIGNITE_02_1,CHP_LIGNITE_02,0,10.152
CHP_LIGNITE_02_2,CHP_LIGNITE_02,-0.372,10.896
CHP_LIGNITE_02_3,CHP_LIGNITE_02,-0.93,11.64
CHP_NAT_GAS_01_1,CHP_NAT_GAS_01,0,9.807414286
CHP_NAT_GAS_01_2,CHP_NAT_GAS_01,-0.318842864,10.44511429
CHP_NAT_GAS_01_3,CHP_NAT_GAS_01,-0.797110712,11.08281429
CHP_NAT_GAS_02_1,CHP_NAT_GAS_02,0,6.229759348
CHP_NAT_GAS_02_2,CHP_NAT_GAS_02,-0.202547642,6.634859348
CHP_NAT_GAS_02_3,CHP_NAT_GAS_02,-0.506376048,7.039959348
CHP_NAT_GAS_03_1,CHP_NAT_GAS_03,0,7.125
CHP_NAT_GAS_03_2,CHP_NAT_GAS_03,-0.1125,7.35
CHP_NAT_GAS_03_3,CHP_NAT_GAS_03,-0.9,8.4
CHP_NAT_GAS_04_1,CHP_NAT_GAS_04,0,9.771457162
CHP_NAT_GAS_04_2,CHP_NAT_GAS_04,-0.462864291,10.69715716
CHP_NAT_GAS_04_3,CHP_NAT_GAS_04,-0.617142906,10.90285716
CHP_NAT_GAS_05_1,CHP_NAT_GAS_05,0,5.2364
CHP_NAT_GAS_05_2,CHP_NAT_GAS_05,-0.098156143,5.4327
CHP_NAT_GAS_05_3,CHP_NAT_GAS_05,-0.785449286,6.3491
CHP_NAT_GAS_06_1,CHP_NAT_GAS_06,0,7.614
CHP_NAT_GAS_06_2,CHP_NAT_GAS_06,-0.279,8.172
CHP_NAT_GAS_06_3,CHP_NAT_GAS_06,-0.6975,8.73
CHP_NAT_GAS_07_1,CHP_NAT_GAS_07,0,7.2
CHP_NAT_GAS_08_1,CHP_NAT_GAS_08,0,6.5336
CHP_NAT_GAS_09_1,CHP_NAT_GAS_09,0,7.0828
CHP_NAT_GAS_09_2,CHP_NAT_GAS_09,-0.259554681,7.6019
CHP_NAT_GAS_09_3,CHP_NAT_GAS_09,-0.648814468,8.1209
CHP_NAT_GAS_10_1,CHP_NAT_GAS_10,0,5.9149
CHP_NAT_GAS_10_2,CHP_NAT_GAS_10,-0.216732553,6.3484
CHP_NAT_GAS_10_3,CHP_NAT_GAS_10,-0.541853404,6.7819
CHP_NAT_GAS_11_1,CHP_NAT_GAS_11,0,6.7669
CHP_NAT_GAS_12_1,CHP_NAT_GAS_12,0,7.5
CHP_NAT_GAS_13_1,CHP_NAT_GAS_13,0,6.0453
CHP_NAT_GAS_13_2,CHP_NAT_GAS_13,-0.101850839,6.1811
CHP_NAT_GAS_14_1,CHP_NAT_GAS_14,0,5.64
CHP_NAT_GAS_14_2,CHP_NAT_GAS_14,-0.20665,6.0533
CHP_NAT_GAS_14_3,CHP_NAT_GAS_14,-0.516691753,6.4667
CHP_NAT_GAS_15_1,CHP_NAT_GAS_15,0,8.3527
CHP_NAT_GAS_16_1,CHP_NAT_GAS_16,0,5.3832
CHP_NAT_GAS_16_2,CHP_NAT_GAS_16,-0.100906883,5.585
CHP_NAT_GAS_16_3,CHP_NAT_GAS_16,-0.80747004,6.5271
CHP_NAT_GAS_17_1,CHP_NAT_GAS_17,0,5.8569
CHP_NAT_GAS_17_2,CHP_NAT_GAS_17,-0.214638362,6.2862
CHP_NAT_GAS_17_3,CHP_NAT_GAS_17,-0.53655,6.7154
CHP_NAT_GAS_18_1,CHP_NAT_GAS_18,0,5.9627
CHP_NAT_GAS_18_2,CHP_NAT_GAS_18,-0.335392,6.6335
