,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_ALBE,ptdf_ALDE,ptdf_AT,ptdf_BE,ptdf_CZ,ptdf_DE,ptdf_FR,ptdf_HR,ptdf_HU,ptdf_NL,ptdf_PL,ptdf_RO,ptdf_SI,ptdf_SK
0,260393979,2023-06-12T00:00:00Z,APG,Ernsthofen 2 - Hausruck 203C ,14T-220-0-0203CD,OPPOSITE,AT,AT,Ernsthofen 2 ,Hausruck,Line,SEASONAL,APG,Ernsthofen 2 - Sattledt 204C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Sattledt 204C', 'branchEic': '14T-220-0-0204CA', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Sattledt', 'elementType': 'Line'}]",True,479.0,28.7,0.2,,1077.0,220.0,420.0,30.0,-151.0,-6.0,-145.0,-89.0,-155.0,65.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.04231,0.04273,0.10381,0.04219,0.01776,0.04247,0.04099,-0.0009,-0.00176,0.04231,0.02087,2e-05,-0.00105,0.00212
1,260394020,2023-06-12T00:00:00Z,APG,Ernsthofen 2 - Sattledt 204C ,14T-220-0-0204CA,DIRECT,AT,AT,Ernsthofen 2 ,Sattledt,Line,SEASONAL,APG,Ernsthofen 2 - Hausruck 203C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Hausruck 203C', 'branchEic': '14T-220-0-0203CD', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,300.0,28.7,0.442,,1077.0,220.0,420.0,30.0,152.0,7.0,145.0,90.0,155.0,-65.0,0.0,0.0,0.0,0.0,90.0,0.0,-0.04231,-0.04273,-0.10391,-0.04219,-0.01776,-0.04246,-0.04098,0.0009,0.00176,-0.04231,-0.02087,-2e-05,0.00105,-0.00212
2,260394041,2023-06-12T00:00:00Z,APG,Ernsthofen 2 - Wallsee 205A ,14T-220-0-0205AB,OPPOSITE,AT,AT,Ernsthofen 2 ,Wallsee,Line,SEASONAL,APG,Ernsthofen 2 - Ybbsfeld 206,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Ybbsfeld 206', 'branchEic': '14T-221-0-00206Q', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Ybbsfeld', 'elementType': 'Line'}]",True,138.0,21.1,0.256,LFcalc = 15.1% ; LFaccept = 6%,961.0,220.0,375.0,36.0,233.0,-3.0,236.0,202.0,219.0,-17.0,0.0,0.0,0.0,0.0,201.0,-1.0,-0.0247,-0.0247,-0.04732,-0.02472,-0.01044,-0.02466,-0.02466,-0.00231,0.0027,-0.02443,-0.01132,0.00027,-0.00473,-0.00033
3,260394073,2023-06-12T00:00:00Z,APG,Tauern - Weissenbach 221 ,14T-220-0-002213,OPPOSITE,AT,AT,Tauern ,Weissenbach,Line,SEASONAL,APG,Tauern - Weissenbach 222,"[{'number': 1, 'branchName': 'Tauern - Weissenbach 222', 'branchEic': '14T-220-0-002221', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Tauern ', 'substationTo': 'Weissenbach', 'elementType': 'Line'}]",True,212.0,16.2,0.2,LFcalc = 16.3% ; LFaccept = 6.4%,996.0,220.0,388.0,31.0,189.0,-6.0,195.0,145.0,139.0,7.0,0.0,0.0,0.0,0.0,145.0,0.0,-0.03091,-0.03023,-0.06291,-0.03116,-0.00922,-0.03093,-0.03271,9e-05,0.00126,-0.02975,-0.0123,4e-05,0.00012,-0.00102
4,260394168,2023-06-12T00:00:00Z,APG,Salzburg - Tauern 231A ,14T-220-0-0231AB,DIRECT,AT,AT,Salzburg ,Tauern,Line,SEASONAL,APG,Salzburg - Tauern 232A,"[{'number': 1, 'branchName': 'Salzburg - Tauern 232A', 'branchEic': '14T-220-0-0232A8', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Salzburg ', 'substationTo': 'Tauern', 'elementType': 'Line'}]",True,267.0,34.1,0.305,LFcalc = 1.3% ; LFaccept = 5.6%,928.0,220.0,362.0,35.0,79.0,3.0,76.0,62.0,49.0,13.0,0.0,0.0,0.0,0.0,60.0,-2.0,-0.00288,-0.00165,-0.04691,-0.0033,0.00946,-0.00232,-0.0064,-0.00687,0.00324,-0.00134,0.00506,0.0007,-0.01242,0.00516
5,260394240,2023-06-12T00:00:00Z,APG,Hausruck - St. Peter 2 204A ,14T-220-0-0204AE,DIRECT,AT,AT,Hausruck ,St. Peter,Line,SEASONAL,APG,Aschach - St. Peter 2 203A,"[{'number': 1, 'branchName': 'Aschach - St. Peter 2 203A', 'branchEic': '14T-220-0-0203AH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Aschach ', 'substationTo': 'St. Peter', 'elementType': 'Line'}]",True,222.0,17.1,0.2,LFcalc = 20.5% ; LFaccept = 5.8%,1200.0,220.0,468.0,30.0,291.0,6.0,285.0,216.0,158.0,58.0,0.0,0.0,0.0,0.0,216.0,0.0,-0.03741,-0.03778,0.04482,-0.0373,-0.0157,-0.03755,-0.03624,0.0008,0.00155,-0.03741,-0.01845,-2e-05,0.00093,-0.00187
6,260394284,2023-06-12T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,AT,HU,Wien Suedost,Gyoer 245,TieLine,SEASONAL,APG,Neusiedl - Wien Suedost 246A,"[{'number': 1, 'branchName': 'Neusiedl - Wien Suedost 246A', 'branchEic': '14T-220-0-0246AT', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Neusiedl ', 'substationTo': 'Wien Suedost', 'elementType': 'Line'}]",True,148.0,24.6,0.216,,600.0,220.0,234.0,23.0,47.0,-1.0,48.0,59.0,52.0,7.0,0.0,0.0,0.0,0.0,63.0,4.0,0.02955,0.02948,0.03754,0.02958,0.02907,0.02948,0.02973,0.01296,-0.01321,0.02934,0.01812,-0.00152,0.0247,0.006
7,260394286,2023-06-12T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,AT,HU,Wien Suedost,Gyoer 245,TieLine,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'TieLine'}]",True,156.0,24.6,0.212,,600.0,220.0,234.0,23.0,38.0,0.0,38.0,51.0,43.0,8.0,0.0,0.0,0.0,0.0,55.0,4.0,0.03126,0.03117,0.04029,0.03131,0.03036,0.03115,0.03154,0.01464,-0.01452,0.03101,0.01888,-0.00171,0.02791,0.0059
8,260394298,2023-06-12T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,DIRECT,AT,HU,Neusiedl,Gyoer 246B,TieLine,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'TieLine'}]",True,166.0,24.9,0.215,,600.0,220.0,234.0,23.0,28.0,0.0,28.0,41.0,33.0,8.0,0.0,0.0,0.0,0.0,45.0,4.0,0.03123,0.03112,0.04073,0.03128,0.03,0.03108,0.03157,0.0154,-0.01496,0.03096,0.01862,-0.00178,0.02936,0.00551
9,260394314,2023-06-12T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,DIRECT,AT,SI,Obersielach,Podlog,TieLine,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,353.0,27.8,0.269,,1121.0,220.0,437.0,37.0,27.0,-1.0,28.0,59.0,56.0,4.0,0.0,0.0,0.0,0.0,47.0,-12.0,0.038,0.03848,0.07185,0.03785,0.03828,0.03984,0.03629,-0.03949,0.01938,0.03834,0.03202,0.00408,-0.07759,0.02625
