,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_ALBE,ptdf_ALDE,ptdf_AT,ptdf_BE,ptdf_CZ,ptdf_DE,ptdf_FR,ptdf_HR,ptdf_HU,ptdf_NL,ptdf_PL,ptdf_RO,ptdf_SI,ptdf_SK
0,192629789,2023-02-18T00:00:00Z,APG,Ernsthofen 2 - Hausruck 203C ,14T-220-0-0203CD,DIRECT,AT,AT,Ernsthofen 2 ,Hausruck,Line,SEASONAL,APG,Kronstorf - St. Peter 1 431,"[{'number': 1, 'branchName': 'Kronstorf - St. Peter 1 431', 'branchEic': '14T-380-0-00431P', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Kronstorf', 'substationTo': 'St. Peter 1', 'elementType': 'Line'}]",True,149.0,31.9,0.35,,1077.0,220.0,420.0,30.0,71.0,3.0,68.0,242.0,248.0,-6.0,0.0,0.0,0.0,0.0,241.0,-1.0,-0.05169,-0.05206,-0.03044,-0.05158,-0.02061,-0.05182,-0.05057,-0.00129,0.00223,-0.05155,-0.02466,0.00013,-0.00329,-0.00192
1,192630065,2023-02-18T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,DIRECT,AT,HU,Neusiedl,Gyoer 246B,Tieline,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'Tieline'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'Tieline'}]",True,133.0,24.9,0.581,,600.0,220.0,234.0,23.0,124.0,2.0,122.0,75.0,66.0,9.0,0.0,0.0,0.0,0.0,78.0,3.0,0.02756,0.02753,0.0379,0.02759,0.02724,0.02756,0.02767,0.01252,-0.01346,0.02742,0.01795,-0.00099,0.02222,0.01073
2,192630066,2023-02-18T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,OPPOSITE,AT,HU,Neusiedl,Gyoer 246B,Tieline,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'Tieline'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'Tieline'}]",True,289.0,24.9,1.222,,600.0,220.0,234.0,23.0,-124.0,-2.0,-122.0,-75.0,-66.0,-9.0,0.0,0.0,0.0,0.0,-78.0,-3.0,-0.02756,-0.02753,-0.0379,-0.02759,-0.02724,-0.02756,-0.02767,-0.01252,0.01346,-0.02742,-0.01795,0.00099,-0.02222,-0.01073
3,192630081,2023-02-18T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,DIRECT,AT,SI,Obersielach,Podlog,Tieline,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,397.0,27.8,0.791,,1253.0,220.0,488.0,37.0,149.0,-5.0,154.0,66.0,-37.0,103.0,0.0,0.0,0.0,0.0,54.0,-12.0,0.0316,0.03215,0.07763,0.03138,0.03306,0.03373,0.02962,-0.03543,0.01654,0.03206,0.02797,0.0026,-0.07906,0.02418
4,192630082,2023-02-18T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,OPPOSITE,AT,SI,Obersielach,Podlog,Tieline,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,505.0,27.8,1.061,,1253.0,220.0,488.0,37.0,-149.0,5.0,-154.0,-66.0,37.0,-103.0,0.0,0.0,0.0,0.0,-54.0,12.0,-0.0316,-0.03215,-0.07763,-0.03138,-0.03306,-0.03373,-0.02962,0.03543,-0.01654,-0.03206,-0.02797,-0.0026,0.07906,-0.02418
5,192630140,2023-02-18T00:00:00Z,APG,Pleinting - St. Peter 258 ,10T-AT-DE-000037,DIRECT,DE,AT,Pleinting,St. Peter,Tieline,SEASONAL,TENNETGMBH,Pirach - Pleinting 257,"[{'number': 1, 'branchName': 'Pirach - Pleinting 257', 'branchEic': '11TD2L000000201H', 'hubFrom': 'DE', 'hubTo': 'DE', 'substationFrom': 'Pirach', 'substationTo': 'Pleinting', 'elementType': 'Line'}]",True,550.0,23.6,0.792,,1789.0,220.0,697.0,52.0,521.0,-4.0,525.0,94.0,142.0,-49.0,0.0,0.0,0.0,0.0,95.0,1.0,0.07906,0.07977,-0.01725,0.07882,0.03734,0.07969,0.07668,0.00036,-0.00264,0.07913,0.04013,-8e-05,0.00225,0.00415
6,192630168,2023-02-18T00:00:00Z,APG,Rosegg - Villach Sued 267B ,14T-220-0-0267BG,DIRECT,AT,AT,Rosegg,Villach,Line,SEASONAL,APG,Feistritz - Villach 266C,"[{'number': 1, 'branchName': 'Feistritz - Villach 266C', 'branchEic': '14T-220-0-0266CH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Feistritz ', 'substationTo': 'Villach', 'elementType': 'Line'}]",True,525.0,20.7,0.677,LFcalc = 14.2% ; LFaccept = 6.1%,2000.0,220.0,779.0,76.0,254.0,0.0,254.0,177.0,225.0,-48.0,0.0,0.0,0.0,0.0,178.0,1.0,-0.05206,-0.05124,-0.13619,-0.05244,-0.02559,-0.0516,-0.05451,0.00699,-0.00239,-0.05066,-0.02629,-0.00044,0.01149,-0.00938
7,192630189,2023-02-18T00:00:00Z,APG,Strass - Zell 273A ,14T-220-0-0273AQ,OPPOSITE,AT,AT,Strass ,Zell,Line,SEASONAL,APG,Strass - Zell 274A,"[{'number': 1, 'branchName': 'Strass - Zell 274A', 'branchEic': '14T-220-0-0274AN', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Strass ', 'substationTo': 'Zell', 'elementType': 'Line'}]",True,403.0,30.9,0.602,,1713.0,220.0,668.0,60.0,-182.0,0.0,-182.0,205.0,84.0,121.0,0.0,0.0,0.0,0.0,205.0,0.0,-0.0429,-0.04234,0.06815,-0.04317,-0.0162,-0.04613,-0.04411,0.00287,-0.00044,-0.04164,-0.01926,-0.00017,0.00439,-0.00458
8,192630207,2023-02-18T00:00:00Z,APG,Vill_Thaur - Silz 273C ,10T1001C--000332,OPPOSITE,AT,DE,Vill_Thaur ,Silz,Tieline,SEASONAL,APG,Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C,"[{'number': 1, 'branchName': 'Vill_Thaur - Silz 274C', 'branchEic': '10T1001C--000324', 'hubFrom': 'AT', 'hubTo': 'DE', 'substationFrom': 'Vill_Thaur ', 'substationTo': 'Silz', 'elementType': 'Tieline'}, {'number': 2, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}, {'number': 3, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}, {'number': 4, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}]",True,503.0,34.5,0.821,LFcalc = 16.5% ; LFaccept = 55.5%,1572.0,220.0,613.0,60.0,436.0,0.0,436.0,50.0,180.0,-130.0,0.0,0.0,0.0,0.0,50.0,0.0,0.03795,0.03745,-0.07874,0.03819,0.01434,0.04081,0.03902,-0.00254,0.00039,0.03684,0.01704,0.00015,-0.00388,0.00405
9,192630214,2023-02-18T00:00:00Z,APG,Thaur - Y_Vill 273C-THA ,14T-220-0-0273CM,DIRECT,AT,AT,Thaur,Y_Vill,Line,SEASONAL,APG,Thaur - Y_Vill 274C-THA,"[{'number': 1, 'branchName': 'Thaur - Y_Vill 274C-THA', 'branchEic': '14T-220-0-0274CJ', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Thaur', 'substationTo': 'Y_Vill', 'elementType': 'Line'}]",True,445.0,13.9,0.726,LFcalc = 22.9% ; LFaccept = 5.9%,1572.0,220.0,613.0,60.0,-304.0,0.0,-304.0,108.0,-26.0,134.0,0.0,0.0,0.0,0.0,108.0,0.0,-0.0432,-0.04264,0.07811,-0.04347,-0.01632,-0.04646,-0.04443,0.00289,-0.00044,-0.04194,-0.0194,-0.00018,0.00442,-0.00461
10,192630437,2023-02-18T00:00:00Z,APG,Westtirol 1 - Pradella 427 ,10T-AT-CH-00002V,DIRECT,AT,CH,Westtirol 1,Pradella,Tieline,SEASONAL,APG,Westtirol 1 - Pradella 428,"[{'number': 1, 'branchName': 'Westtirol 1 - Pradella 428', 'branchEic': '10T-AT-CH-00001X', 'hubFrom': 'AT', 'hubTo': 'CH', 'substationFrom': 'Westtirol 1', 'substationTo': 'Pradella', 'elementType': 'Tieline'}]",True,756.0,26.3,0.505,LFcalc = -12.4% ; LFaccept = 63.7%,2160.0,380.0,1496.0,148.0,900.0,-1.0,901.0,594.0,-133.0,727.0,0.0,0.0,0.0,0.0,592.0,-2.0,-0.01939,-0.00931,0.04294,-0.02354,0.01409,0.01503,-0.05156,-0.01071,0.00479,-0.01,0.00877,0.0008,-0.01856,0.00791
11,192630529,2023-02-18T00:00:00Z,APG,Sarasdorf - Zurndorf 439A ,14T-380-0-0439AA,OPPOSITE,AT,AT,Sarasdorf ,Zurndorf,Line,SEASONAL,APG,Sarasdorf - Zurndorf 440A,"[{'number': 1, 'branchName': 'Sarasdorf - Zurndorf 440A', 'branchEic': '14T-380-0-0440AX', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Sarasdorf ', 'substationTo': 'Zurndorf', 'elementType': 'Line'}]",True,1255.0,22.7,0.78,LFcalc = 8.5% ; LFaccept = 6.5%,2300.0,380.0,1593.0,152.0,-148.0,-3.0,-145.0,199.0,235.0,-35.0,0.0,0.0,0.0,0.0,186.0,-13.0,-0.15939,-0.15958,-0.17747,-0.15936,-0.16577,-0.16023,-0.15877,-0.04689,0.03426,-0.15897,-0.09994,0.00332,-0.09662,-0.01387
