"Time (CET/CEST)","Export/Import (BZN|CZ)","Net position [MW]"
"04.11.2023 00:00 - 04.11.2023 01:00","Export","1924"
"04.11.2023 01:00 - 04.11.2023 02:00","Export","2012"
"04.11.2023 02:00 - 04.11.2023 03:00","Export","2151"
"04.11.2023 03:00 - 04.11.2023 04:00","Export","1914"
"04.11.2023 04:00 - 04.11.2023 05:00","Export","1648"
"04.11.2023 05:00 - 04.11.2023 06:00","Export","697"
"04.11.2023 06:00 - 04.11.2023 07:00","Export","1186"
"04.11.2023 07:00 - 04.11.2023 08:00","Export","1388"
"04.11.2023 08:00 - 04.11.2023 09:00","Export","1300"
"04.11.2023 09:00 - 04.11.2023 10:00","Export","1090"
"04.11.2023 10:00 - 04.11.2023 11:00","Export","637"
"04.11.2023 11:00 - 04.11.2023 12:00","Export","648"
"04.11.2023 12:00 - 04.11.2023 13:00","Export","1246"
"04.11.2023 13:00 - 04.11.2023 14:00","Export","1225"
"04.11.2023 14:00 - 04.11.2023 15:00","Export","1329"
"04.11.2023 15:00 - 04.11.2023 16:00","Export","1060"
"04.11.2023 16:00 - 04.11.2023 17:00","Export","963"
"04.11.2023 17:00 - 04.11.2023 18:00","Export","820"
"04.11.2023 18:00 - 04.11.2023 19:00","Export","863"
"04.11.2023 19:00 - 04.11.2023 20:00","Export","1021"
"04.11.2023 20:00 - 04.11.2023 21:00","Export","666"
"04.11.2023 21:00 - 04.11.2023 22:00","Export","818"
"04.11.2023 22:00 - 04.11.2023 23:00","Export","921"
"04.11.2023 23:00 - 05.11.2023 00:00","Export","1242"
