"Time (CET/CEST)","Export/Import (BZN|HU)","Net position [MW]"
"04.11.2023 00:00 - 04.11.2023 01:00","Import","2398"
"04.11.2023 01:00 - 04.11.2023 02:00","Import","2154"
"04.11.2023 02:00 - 04.11.2023 03:00","Import","1940"
"04.11.2023 03:00 - 04.11.2023 04:00","Import","1818"
"04.11.2023 04:00 - 04.11.2023 05:00","Import","1999"
"04.11.2023 05:00 - 04.11.2023 06:00","Import","2119"
"04.11.2023 06:00 - 04.11.2023 07:00","Import","2080"
"04.11.2023 07:00 - 04.11.2023 08:00","Import","2133"
"04.11.2023 08:00 - 04.11.2023 09:00","Import","1953"
"04.11.2023 09:00 - 04.11.2023 10:00","Import","1656"
"04.11.2023 10:00 - 04.11.2023 11:00","Import","1480"
"04.11.2023 11:00 - 04.11.2023 12:00","Import","1444"
"04.11.2023 12:00 - 04.11.2023 13:00","Import","1551"
"04.11.2023 13:00 - 04.11.2023 14:00","Import","1793"
"04.11.2023 14:00 - 04.11.2023 15:00","Import","2147"
"04.11.2023 15:00 - 04.11.2023 16:00","Import","2560"
"04.11.2023 16:00 - 04.11.2023 17:00","Import","2696"
"04.11.2023 17:00 - 04.11.2023 18:00","Import","2687"
"04.11.2023 18:00 - 04.11.2023 19:00","Import","2658"
"04.11.2023 19:00 - 04.11.2023 20:00","Import","2504"
"04.11.2023 20:00 - 04.11.2023 21:00","Import","2377"
"04.11.2023 21:00 - 04.11.2023 22:00","Import","2433"
"04.11.2023 22:00 - 04.11.2023 23:00","Import","2220"
"04.11.2023 23:00 - 05.11.2023 00:00","Import","2028"
