"Time (CET/CEST)","Export/Import (BZN|HR)","Net position [MW]"
"15.03.2023 00:00 - 15.03.2023 01:00","Export","1068"
"15.03.2023 01:00 - 15.03.2023 02:00","Export","1316"
"15.03.2023 02:00 - 15.03.2023 03:00","Export","1297"
"15.03.2023 03:00 - 15.03.2023 04:00","Export","1416"
"15.03.2023 04:00 - 15.03.2023 05:00","Export","1445"
"15.03.2023 05:00 - 15.03.2023 06:00","Export","1392"
"15.03.2023 06:00 - 15.03.2023 07:00","Export","1542"
"15.03.2023 07:00 - 15.03.2023 08:00","Export","1454"
"15.03.2023 08:00 - 15.03.2023 09:00","Export","1230"
"15.03.2023 09:00 - 15.03.2023 10:00","Export","1090"
"15.03.2023 10:00 - 15.03.2023 11:00","Export","1238"
"15.03.2023 11:00 - 15.03.2023 12:00","Export","1171"
"15.03.2023 12:00 - 15.03.2023 13:00","Export","1170"
"15.03.2023 13:00 - 15.03.2023 14:00","Export","1266"
"15.03.2023 14:00 - 15.03.2023 15:00","Export","1364"
"15.03.2023 15:00 - 15.03.2023 16:00","Export","1555"
"15.03.2023 16:00 - 15.03.2023 17:00","Export","1605"
"15.03.2023 17:00 - 15.03.2023 18:00","Export","1619"
"15.03.2023 18:00 - 15.03.2023 19:00","Export","1341"
"15.03.2023 19:00 - 15.03.2023 20:00","Export","1257"
"15.03.2023 20:00 - 15.03.2023 21:00","Export","1338"
"15.03.2023 21:00 - 15.03.2023 22:00","Export","1544"
"15.03.2023 22:00 - 15.03.2023 23:00","Export","1539"
"15.03.2023 23:00 - 16.03.2023 00:00","Export","1676"
