"Time (CET/CEST)","Export/Import (BZN|SK)","Net position [MW]"
"30.06.2023 00:00 - 30.06.2023 01:00","Export","120"
"30.06.2023 01:00 - 30.06.2023 02:00","Export","225"
"30.06.2023 02:00 - 30.06.2023 03:00","Export","222"
"30.06.2023 03:00 - 30.06.2023 04:00","Export","227"
"30.06.2023 04:00 - 30.06.2023 05:00","Export","219"
"30.06.2023 05:00 - 30.06.2023 06:00","Export","209"
"30.06.2023 06:00 - 30.06.2023 07:00","Export","34"
"30.06.2023 07:00 - 30.06.2023 08:00","Export","2"
"30.06.2023 08:00 - 30.06.2023 09:00","Import","30"
"30.06.2023 09:00 - 30.06.2023 10:00","Import","203"
"30.06.2023 10:00 - 30.06.2023 11:00","Import","271"
"30.06.2023 11:00 - 30.06.2023 12:00","Import","579"
"30.06.2023 12:00 - 30.06.2023 13:00","Import","605"
"30.06.2023 13:00 - 30.06.2023 14:00","Import","712"
"30.06.2023 14:00 - 30.06.2023 15:00","Import","986"
"30.06.2023 15:00 - 30.06.2023 16:00","Import","886"
"30.06.2023 16:00 - 30.06.2023 17:00","Import","589"
"30.06.2023 17:00 - 30.06.2023 18:00","Import","483"
"30.06.2023 18:00 - 30.06.2023 19:00","Import","251"
"30.06.2023 19:00 - 30.06.2023 20:00","Import","144"
"30.06.2023 20:00 - 30.06.2023 21:00","Export","277"
"30.06.2023 21:00 - 30.06.2023 22:00","Export","300"
"30.06.2023 22:00 - 30.06.2023 23:00","Export","16"
"30.06.2023 23:00 - 01.07.2023 00:00","Export","100"
