generator,time,value
Durnrohr_Evn,1,1.0
Durnrohr_Evn,2,1.0
Durnrohr_Evn,3,1.0
Durnrohr_Evn,4,1.0
Durnrohr_Evn,5,1.0
Durnrohr_Evn,6,1.0
Durnrohr_Evn,7,1.0
Durnrohr_Evn,8,1.0
Durnrohr_Evn,9,1.0
Durnrohr_Evn,10,1.0
Durnrohr_Evn,11,1.0
Durnrohr_Evn,12,1.0
Durnrohr_Evn,13,1.0
Durnrohr_Evn,14,1.0
Durnrohr_Evn,15,1.0
Durnrohr_Evn,16,1.0
Durnrohr_Evn,17,1.0
Durnrohr_Evn,18,1.0
Durnrohr_Evn,19,1.0
Durnrohr_Evn,20,1.0
Durnrohr_Evn,21,1.0
Durnrohr_Evn,22,1.0
Durnrohr_Evn,23,1.0
Durnrohr_Evn,24,1.0
Linzsud_1,1,0.0
Linzsud_1,2,0.0
Linzsud_1,3,0.0
Linzsud_1,4,0.0
Linzsud_1,5,0.0
Linzsud_1,6,1.0
Linzsud_1,7,1.0
Linzsud_1,8,1.0
Linzsud_1,9,1.0
Linzsud_1,10,1.0
Linzsud_1,11,1.0
Linzsud_1,12,1.0
Linzsud_1,13,1.0
Linzsud_1,14,1.0
Linzsud_1,15,1.0
Linzsud_1,16,0.0
Linzsud_1,17,0.0
Linzsud_1,18,0.0
Linzsud_1,19,0.0
Linzsud_1,20,0.0
Linzsud_1,21,0.0
Linzsud_1,22,0.0
Linzsud_1,23,0.0
Linzsud_1,24,0.0
Heizkraftwerk,1,1.0
Heizkraftwerk,2,1.0
Heizkraftwerk,3,1.0
Heizkraftwerk,4,1.0
Heizkraftwerk,5,1.0
Heizkraftwerk,6,1.0
Heizkraftwerk,7,1.0
Heizkraftwerk,8,1.0
Heizkraftwerk,9,1.0
Heizkraftwerk,10,1.0
Heizkraftwerk,11,1.0
Heizkraftwerk,12,1.0
Heizkraftwerk,13,1.0
Heizkraftwerk,14,1.0
Heizkraftwerk,15,1.0
Heizkraftwerk,16,1.0
Heizkraftwerk,17,1.0
Heizkraftwerk,18,1.0
Heizkraftwerk,19,1.0
Heizkraftwerk,20,1.0
Heizkraftwerk,21,1.0
Heizkraftwerk,22,1.0
Heizkraftwerk,23,1.0
Heizkraftwerk,24,1.0
Mellach CHP Power Plant Austria,1,1.0
