Line,Time,Flow,Limit
Cro_16.To.Cro_5,1,172.30381770010558,734.0
Cro_16.To.Cro_5,2,192.6219392607632,734.0
Cro_16.To.Cro_5,3,211.92749615255494,734.0
Cro_16.To.Cro_5,4,166.20392267642038,734.0
Cro_16.To.Cro_5,5,203.94007267365978,734.0
Cro_16.To.Cro_5,6,184.73600784982585,734.0
Cro_16.To.Cro_5,7,183.66171954130763,734.0
Cro_16.To.Cro_5,8,163.3933462196373,734.0
Cro_16.To.Cro_5,9,246.629674449767,734.0
Cro_16.To.Cro_5,10,195.21221738890048,734.0
Cro_16.To.Cro_5,11,167.524627941964,734.0
Cro_16.To.Cro_5,12,164.46861525094724,734.0
Cro_16.To.Cro_5,13,191.14563145077597,734.0
Cro_16.To.Cro_5,14,157.752216144638,734.0
Cro_16.To.Cro_5,15,147.52335468783528,734.0
Cro_16.To.Cro_5,16,138.4222063630597,734.0
Cro_16.To.Cro_5,17,95.34564574854647,734.0
Cro_16.To.Cro_5,18,79.38561382835245,734.0
Cro_16.To.Cro_5,19,69.33456458579487,734.0
Cro_16.To.Cro_5,20,53.29207041800802,734.0
Cro_16.To.Cro_5,21,58.520243820462554,734.0
Cro_16.To.Cro_5,22,51.06032444900628,734.0
Cro_16.To.Cro_5,23,54.56383890394985,734.0
Cro_16.To.Cro_5,24,46.50217508841874,734.0
Cro_16.To.Cro_5,25,34.92101975132099,734.0
Cro_16.To.Cro_5,26,45.391278032814675,734.0
Cro_16.To.Cro_5,27,23.6355663838746,734.0
Cro_16.To.Cro_5,28,56.10269995848454,734.0
Cro_16.To.Cro_5,29,277.92248000895415,734.0
Cro_16.To.Cro_5,30,327.53485731762294,734.0
Cro_16.To.Cro_5,31,414.6038970963229,734.0
Cro_16.To.Cro_5,32,546.9658087196511,734.0
Cro_16.To.Cro_5,33,665.8006492520291,734.0
Cro_16.To.Cro_5,34,658.4225227801277,734.0
Cro_16.To.Cro_5,35,689.4787381714885,734.0
Cro_16.To.Cro_5,36,695.8524578679815,734.0
Cro_16.To.Cro_5,37,703.8091043948492,734.0
Cro_16.To.Cro_5,38,680.2091606458172,734.0
Cro_16.To.Cro_5,39,603.9527268251394,734.0
Cro_16.To.Cro_5,40,618.943974437556,734.0
Cro_16.To.Cro_5,41,616.3682538213826,734.0
Cro_16.To.Cro_5,42,462.8443868652803,734.0
Cro_16.To.Cro_5,43,524.2760423816995,734.0
Cro_16.To.Cro_5,44,414.1129493341386,734.0
Cro_16.To.Cro_5,45,377.0933117789672,734.0
Cro_16.To.Cro_5,46,316.53268677187793,734.0
Cro_16.To.Cro_5,47,433.18676161456494,734.0
Cro_16.To.Cro_5,48,485.6457264058358,734.0
Cro_16.To.Cro_5,49,371.98900074069184,734.0
Cro_16.To.Cro_5,50,356.44801852490866,734.0
Cro_16.To.Cro_5,51,288.7245771922346,734.0
Cro_16.To.Cro_5,52,283.0143835694549,734.0
Cro_16.To.Cro_5,53,445.8221077328757,734.0
Cro_16.To.Cro_5,54,357.7332668817953,734.0
Cro_16.To.Cro_5,55,294.4255711944069,734.0
Cro_16.To.Cro_5,56,310.1358961764301,734.0
Cro_16.To.Cro_5,57,245.32167643792468,734.0
Cro_16.To.Cro_5,58,324.3225472444083,734.0
Cro_16.To.Cro_5,59,314.4024140587428,734.0
Cro_16.To.Cro_5,60,292.7621932993033,734.0
Cro_16.To.Cro_5,61,455.80393960952415,734.0
Cro_16.To.Cro_5,62,494.820168625979,734.0
Cro_16.To.Cro_5,63,554.6241693073079,734.0
Cro_16.To.Cro_5,64,558.6387980659259,734.0
Cro_16.To.Cro_5,65,537.2651581764085,734.0
Cro_16.To.Cro_5,66,627.1741986270861,734.0
Cro_16.To.Cro_5,67,638.9672834664588,734.0
Cro_16.To.Cro_5,68,629.8590996444594,734.0
Cro_16.To.Cro_5,69,566.290471620668,734.0
Cro_16.To.Cro_5,70,568.8220343098436,734.0
Cro_16.To.Cro_5,71,567.2744339997021,734.0
Cro_16.To.Cro_5,72,564.1181022008465,734.0
Cro_16.To.Cro_5,73,548.0686726450233,734.0
Cro_16.To.Cro_5,74,544.3882497839942,734.0
Cro_16.To.Cro_5,75,518.9088562157959,734.0
Cro_16.To.Cro_5,76,507.05676243846347,734.0
