zone,bus,fuel,generator,time,value
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,1,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,2,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,3,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,4,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,5,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,6,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,7,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,8,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,9,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,10,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,11,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,12,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,13,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,14,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,15,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,16,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,17,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,18,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,19,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,20,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,21,140.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,22,140.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,23,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,24,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,25,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,26,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,27,140.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,28,140.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,29,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,30,140.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,31,140.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,32,140.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,33,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,34,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,35,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,36,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,37,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,38,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,39,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,40,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,41,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,42,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,43,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,44,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,45,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,46,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,47,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,48,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,49,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,50,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,51,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,52,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,53,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,54,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,55,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,56,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,57,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,58,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,59,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,60,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,61,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,62,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,63,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,64,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,65,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,66,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,67,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,68,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,69,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,70,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,71,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,72,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,73,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,74,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,75,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,76,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,77,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,78,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,79,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,80,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,81,60.54358103592426
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,82,60.54358103592426
