zone,total_cost
Slv_2,0.0
Slv_3,256363.366612204
Slv_4,0.0
Slv_5,106203.73075974175
Slv_6,262201.576296722
Slv_7,0.0
Cro_1,0.0
Cro_2,0.0
Cro_3,0.0
Cro_4,0.0
Cro_5,0.0
Cro_6,0.0
Cro_7,0.0
Cro_8,0.0
Cro_9,708400.6143520582
Cro_10,113917.90444886903
Cro_11,78641.76826848714
Cro_12,97886.765380701
Cro_13,0.0
Cro_14,0.0
Cro_15,199520.49489165732
Cro_16,0.0
Cro_18,0.0
Aus_1,0.0
Aus_2,0.0
Aus_3,0.0
Aus_4,66219.53108090657
Aus_5,819542.4071258091
Aus_6,0.0
Aus_7,74297.0096755676
Aus_8,0.0
Aus_9,0.0
Aus_10,349674.9673566685
Aus_11,75124.11551838831
Aus_12,0.0
Aus_13,285528.65369103034
Aus_14,0.0
Aus_15,669248.9188543011
Aus_16,0.0
Aus_17,0.0
Aus_18,704987.1298296395
Aus_19,90670.68475743143
Aus_20,0.0
Aus_21,0.0
Aus_22,0.0
Aus_23,0.0
Aus_24,0.0
Aus_25,0.0
Aus_26,677918.3290870417
Aus_27,30568.917489548538
Aus_28,0.0
Aus_29,0.0
Aus_30,0.0
Aus_31,0.0
Aus_32,740464.2152663041
Aus_33,0.0
Aus_34,0.0
Aus_35,0.0
Aus_36,0.0
